Materials,Piezoelectric_Modulus,Crystal_Symmetry,mp_id
GaBN2,0.739661977,tetragonal,mp-1007823
BC2N,0.65775,tetragonal,mp-1008523
B2AsP,0.054517933,tetragonal,mp-1008528
AlGaN2,0.480111362,tetragonal,mp-1008556
NdBiPd,0.437876667,cubic,mp-1008858
BeSnAs2,0.46825,tetragonal,mp-1009084
BeSiP2,0.141305,tetragonal,mp-1009085
BeSiAs2,0.131505,tetragonal,mp-1009087
BeGeAs2,0.10722,tetragonal,mp-1009088
BaSiC,0.455782301,tetragonal,mp-1009828
BeGeP2,0.1178,tetragonal,mp-1013527
MgSiAs2,0.14469,tetragonal,mp-1016197
Al3GaN4,0.40219,cubic,mp-1019378
AlB3N4,0.46892,cubic,mp-1019379
Al3BN4,0.15565,cubic,mp-1019380
AlGa3N4,0.23519,cubic,mp-1019508
B2S2O9,0.237062597,monoclinic,mp-1019509
BeGeN2,1.240779263,orthorhombic,mp-1019550
Ca2B2O5,0.16603,orthorhombic,mp-1019560
GaB3N4,0.78069,cubic,mp-1019740
Ga3BN4,0.11691,cubic,mp-1019743
Mn(AlTe2)2,0.05759,tetragonal,mp-1025315
Cd(AgI2)2,0.44492,tetragonal,mp-1025377
Li7BiN4,0.15341,cubic,mp-1029517
BaGe7N10,1.550821427,monoclinic,mp-1029679
CsC2N3,0.008615135,trigonal,mp-1029718
BaLiP,0.547548142,hexagonal,mp-10615
BaLiAs,0.496954638,hexagonal,mp-10616
AlPS4,0.06057,orthorhombic,mp-1071955
LiAsSe2,1.465844053,monoclinic,mp-1078724
Ba2CdAs2,0.582351563,orthorhombic,mp-1079666
ScAgS2,0.629901983,trigonal,mp-1094066
Ca2CdAs2,0.874908719,orthorhombic,mp-1095180
CaB4O7,1.670003161,orthorhombic,mp-11000
BiRhSe,0.17413,cubic,mp-1101765
AlCBr4,0.27989,tetragonal,mp-1102536
BiIrSe,0.15768,cubic,mp-1103228
Cs4A6S5,0.236418918,trigonal,mp-1104686
LiAlS2,0.97177665,orthorhombic,mp-1106183
BPO4,0.153004208,trigonal,mp-11653
BAsO4,0.211808919,trigonal,mp-11654
Li4CO4,0.551637446,orthorhombic,mp-1180553
YAgSe2,0.19897,orthorhombic,mp-1188559
BeCN2,0.493098497,orthorhombic,mp-1189451
La3Sb4Au3,0.31933,cubic,mp-1190030
Zn(BH4)2,0.26224,tetragonal,mp-1191586
K3AsS3,0.04751,cubic,mp-1193111
HgB4O7,2.095161105,orthorhombic,mp-12022
SiPAu,0.395149802,trigonal,mp-1207095
GaCBr4,0.2763,tetragonal,mp-1212660
Ca3AsI3,0,cubic,mp-1214087
Zn3PBr3,0.673499624,monoclinic,mp-1215629
RbBH4,0.05996,cubic,mp-1219553
BiTeIr,0.10234,cubic,mp-1227372
Ba4Bi2O,0.812326641,tetragonal,mp-1228030
AsRhSe,0.1142,cubic,mp-1228724
AsRhS,0.10663,cubic,mp-1228745
AlReSi,2.483052203,tetragonal,mp-1228809
AsIrSe,0.11778,cubic,mp-1228810
AsIrS,0.11016,cubic,mp-1228823
Ag3PO4,1.224157632,trigonal,mp-1229128
LiBF4,0.08890335,trigonal,mp-12403
Ag3PS4,0.623903844,orthorhombic,mp-12459
ErAgTe2,0.66249,tetragonal,mp-12902
YAgTe2,0.67857,tetragonal,mp-12903
HoAgTe2,0.68695,tetragonal,mp-12904
CBS2,0.0619,tetragonal,mp-12954
HoAgSe2,0.1647,orthorhombic,mp-12955
SnB4O7,1.36381,orthorhombic,mp-13252
SmSnAu,0.44718,cubic,mp-13305
HoGeAu,0.5782,cubic,mp-13308
Cd(BO2)2,0.769631307,hexagonal,mp-13335
Y3Sb4Au3,0.876959944,cubic,mp-13654
Al4CO4,0.678970545,orthorhombic,mp-13703
BaGeO3,0.17409,orthorhombic,mp-13863
Ag2PSe3,0.17376,orthorhombic,mp-13956
Ba4SiAs4,0.08735,cubic,mp-14001
AlAgSe2,0.236835,tetragonal,mp-14091
AlAgTe2,0.084225,tetragonal,mp-14092
LiBO2,1.11153,tetragonal,mp-14232
AsPO5,0.08661,orthorhombic,mp-14367
SbAsO5,0.08264,orthorhombic,mp-14368
BaMgF4,1.86949,orthorhombic,mp-14568
KAsSe2,0.665263316,monoclinic,mp-14659
BaGaH5,0.244182464,orthorhombic,mp-1540000
Mn2As2O7,0.620404494,monoclinic,mp-1541585
Tl3AsO4,1.050721201,hexagonal,mp-15573
KZnAs,0.280092082,hexagonal,mp-15687
BeCN2,0.461515,tetragonal,mp-15703
BeSiN2,0.14142,tetragonal,mp-15704
Li2AgSb,0.03671,cubic,mp-16238
CoAsS,0.12321,cubic,mp-16363
Ca5Al6O14,0.218118916,orthorhombic,mp-17694
Ag3Ge5P6,0.107814593,cubic,mp-17862
Ba2Ge2Te5,0.280354144,orthorhombic,mp-17885
CsAgSe4,0.08643,orthorhombic,mp-18105
HoAgS2,0.019012856,tetragonal,mp-18262
K7NbAs4,0.243042255,orthorhombic,mp-18361
Rb7NbAs4,0.156948014,orthorhombic,mp-18440
K3AsSe3,0.023263333,cubic,mp-18594
BaV2O6,0.21175,orthorhombic,mp-18929
BaCoO2,1.504327973,trigonal,mp-19086
Ba(FeO2)2,0.827115551,orthorhombic,mp-19154
BaNiO3,17.82595859,hexagonal,mp-19241
BaMnO3,1.080231832,hexagonal,mp-19267
Co4B6O13,0.13932,cubic,mp-19343
VAg3O4,1.1953,tetragonal,mp-19412
InAgS2,0.28136,tetragonal,mp-19833
Ba2In2O5,0.67630633,orthorhombic,mp-20546
InAgSe2,0.20373,tetragonal,mp-20554
InAgS2,0.449711162,orthorhombic,mp-21459
Al2PbO4,0.93636,orthorhombic,mp-21892
InAgTe2,0.0516,tetragonal,mp-22386
FeBiO3,3.625148308,trigonal,mp-22949
KBrO3,0.748250286,trigonal,mp-22958
BiTeI,0.376339893,trigonal,mp-22965
C(ClF)2,0.069925574,orthorhombic,mp-22966
AgClO4,0.26678,tetragonal,mp-22993
Ag3SI,0.312888336,trigonal,mp-22995
Ba4Cl6O,0.234891394,hexagonal,mp-23063
Bi2WO6,5.697979375,orthorhombic,mp-23329
NaBrO3,0.0055,cubic,mp-23339
Bi(BO2)3,1.162282514,monoclinic,mp-23349
Ge(Bi3O5)4,0.980357216,cubic,mp-23352
GaSeBr7,0.772074932,monoclinic,mp-23376
Ti3(BiO3)4,6.080634777,orthorhombic,mp-23427
GeBi2O5,3.868479151,orthorhombic,mp-23446
Ag2HgI4,0.166158448,tetragonal,mp-23485
Si(Bi3O5)4,1.148796158,cubic,mp-23492
