material_id,pretty_formula,final_energy,e_above_hull,spacegroup.number,volume,full_formula,band_gap,density,final_energy_per_atom,formation_energy_per_atom,magnetism.total_magnetization,total_magnetization
mp-1029932,LiVN2,-123.99070975,0.0,33,184.84495128238600,Li4V4N8,1.3146,3.0865543607489000,-7.749419359375,-1.0134646627083300,0.0009843,0.000246075
mp-1207082,LiMgSb,-9.32502861,0.0,216,74.18824379127040,Li1Mg1Sb1,1.4438,3.4246994866064700,-3.10834287,-0.6262748177777780,0.0014682,0.0014682
mp-22949,FeBiO3,-62.1821758,0.03357941099999980,160,133.6500252449510,Fe2Bi2O6,1.8606000000000000,7.773373896524190,-6.21821758,-1.640832425,0.0,0.0
mp-30321,Y2P4O13,-300.06127285,0.00294717467106409,20,542.6754124161420,Y4P8O26,5.6488,3.119267967533760,-7.896349285526320,-3.160631110877190,0.0021373,0.00106865
mp-33508,TaGaO4,-196.2240647,0.03678250583332420,33,264.6393538812670,Ta4Ga4O16,3.1553000000000000,7.897832221916240,-8.176002695833330,-2.854383083750000,0.0019537,0.000488425
mp-34381,H4IN,-26.12612618,0.002177885000000050,44,97.55470624863720,H4I1N1,4.0129,2.467163368613310,-4.354354363333330,-0.5724524100000000,0.0007737,0.0007737
mp-3532,CrAgSe2,-20.92273378,0.0,160,86.3300741425971,Cr1Ag1Se2,0.23540000000000000,6.112507722749180,-5.230683445,-0.5973268378385420,2.999591,2.999591
mp-4117,Li2Si2O5,-126.23299553,0.0,37,210.98237829148700,Li4Si4O10,5.352,2.361940262130260,-7.0129441961111100,-3.015913218518520,0.0008015,0.00040075
mp-555874,LiAsS2,-34.54191858,0.0,9,161.52706402515900,Li2As2S4,1.3757000000000000,3.0016816958518900,-4.3177398225,-0.8590045711458330,0.0011965,0.00059825
mp-5920,LiAlGe,-11.15155156,0.0,216,54.51609347653410,Li1Al1Ge1,0.08690000000000000,3.2458536020659200,-3.7171838533333300,-0.29134166944444400,0.0009933,0.0009933
mp-626068,MnHO2,-105.37444846,0.00557393117187388,31,141.83354404217900,Mn4H4O8,0.5128000000000000,4.11851095401829,-6.58590302875,-1.733737191982760,0.0,0.0
mp-691106,MnSnO3,-69.18867748,0.022306391000021200,161,123.04270445240000,Mn2Sn2O6,0.3073000000000000,5.982512338715370,-6.918867748000000,-2.0615737155862100,7.16E-05,3.58E-05
mp-756591,Sm3NbO7,-189.2059332,0.001668360568180210,20,318.5712649228130,Sm6Nb2O14,2.5893,6.83855800457934,-8.60026969090909,-3.683561465454550,0.0035584,0.0017792
mp-761269,Li2AgF4,-58.38146161,0.03423822285714360,15,166.99802381530800,Li4Ag2F8,0.36130000000000000,3.9325175092609500,-4.170104400714290,-2.391773314047620,2.0000009,1.00000045
mp-7906,Al2HgS4,-30.08258933,0.0,82,163.74255368837900,Al2Hg1S4,2.0184,3.882167802914120,-4.297512761428570,-1.1077082625000000,1.89E-05,1.89E-05
mp-866473,Ca4SnS6,-107.15350361,0.1461492515909100,9,627.6688529211300,Ca8Sn2S12,2.2461,2.4943026528111100,-4.870613800454550,-1.7949164753409100,0.003726,0.001863
mp-10748,TaCu3S4,-45.64640424,0.0,215,172.32069704839400,Ta1Cu3S4,2.0731000000000000,4.816679744429980,-5.70580053,-0.8696508915625010,3.94E-05,3.94E-05
mp-1095291,Li2SnSe3,-46.59457143,0.0,9,318.8659512797100,Li4Sn2Se6,1.49,3.848154295261530,-3.8828809525000000,-1.0663556156163200,0.0010312,0.0005156
mp-1227372,BiTeIr,-66.2520119,0.07345498750000080,198,289.86990297670900,Bi4Te4Ir4,0.4737,12.117004656217300,-5.521000991666670,-0.23041243833333300,3.68E-05,9.2E-06
mp-13308,HoGeAu,-14.72009556,0.07459606833333330,216,69.31433613549800,Ho1Ge1Au1,0.21750000000000000,10.410046756457200,-4.90669852,-0.7469257650000000,0.0001332,0.0001332
mp-19885,InGaS3,-42.41296339,0.017178434333333200,36,234.95748088707000,In2Ga2S6,1.8944,3.968148565783090,-4.241296339,-0.9052704683750010,5.64E-05,2.82E-05
mp-30957,Pr(PO3)3,-196.37158153,0.0,20,366.2422260052000,Pr2P6O18,5.485400000000000,3.4260972507306900,-7.552753135769230,-2.9858719273076900,0.0,0.0
mp-504952,InGaSe3,-114.47837622,0.0,169,855.1956731786200,In6Ga6Se18,1.3286000000000000,4.909655574270970,-3.815945874,-0.8456430369062500,3.28E-05,5.46666666666667E-06
mp-625054,AlHO2,-52.48897205,0.0,36,66.31653037811190,Al2H2O4,5.2866,3.00416440924848,-6.56112150625,-2.646065535,0.0003475,0.00017375
mp-753316,Li2AgF5,-31.63430672,0.06517307624999710,1,106.89370502216500,Li2Ag1F5,0.8915,3.366979533311390,-3.95428834,-2.217063768229170,0.0,0.0
mp-756570,Rb4SnO3,-65.77735279,0.0,9,437.020366483775,Rb8Sn2O6,1.4770000000000000,3.864881488077480,-4.111084549375,-1.521760654375,0.0001859,9.295E-05
mp-1008867,NaCuO,-11.76106079,0.5396684800000000,216,38.30118707311080,Na1Cu1O1,0.0017000000000000300,4.445388440960800,-3.9203535966666700,-0.6927892738505740,3.11E-05,3.11E-05
mp-11000,CaB4O7,-188.97170329,0.030717559270877700,31,200.46837933756500,Ca2B8O14,6.441800000000000,3.2357505794589900,-7.873820970416670,-2.9946631372222200,0.0002297,0.00011485
mp-28123,H7NF4,-110.25949507,0.0,161,217.3028527472640,H14N2F8,7.490600000000000,1.4833224654034900,-4.594145627916670,-1.4672712020833300,0.0029128,0.0014564
mp-28797,YHSe,-17.65955306,0.0,187,50.45281535280020,Y1H1Se1,1.5589,5.558094700145220,-5.886517686666670,-1.651814808003470,0.0030137,0.0030137
mp-28873,CsBrO3,-20.62267378,0.0,160,109.80625839226800,Cs1Br1O3,4.3148,3.944049284522920,-4.124534756,-1.0614911000862100,0.000505,0.000505
mp-626800,ReH3O5,-117.26459956,0.0280043116666695,1,210.1047498698050,Re2H6O10,3.7536,4.255623094695230,-6.514699975555560,-1.6338654927777800,0.0001441,7.205E-05
mp-675180,ErCuSe2,-20.44073446,0.01774048562499790,156,91.39036202090960,Er1Cu1Se2,1.0459000000000000,7.0630319695680800,-5.110183615,-1.4314965061718800,0.0002456,0.0002456
mp-675488,Li6I3N,-33.14986493,0.013281675500000500,8,219.1520316865490,Li6I3N1,2.3628,3.3063940471775600,-3.314986493,-1.0285794960000000,0.0001029,0.0001029
mp-753340,Li4VF8,-66.86338112,0.059671282307682800,3,153.77701441956800,Li4V1F8,1.9347,2.4911023580809500,-5.143337009230770,-3.0959962956410300,1.0086071,1.0086071
mp-760402,TaRhO4,-101.19767134,0.014040642291668300,109,139.5171784241570,Ta2Rh2O8,1.0166000000000000,8.28027269715887,-8.433139278333330,-2.3888176916666700,3.26E-05,1.63E-05
mp-774361,Li2Mn3F8,-307.81584354,0.02465095269230670,212,691.2697510492530,Li8Mn12F32,3.5254000000000000,3.1774145367558600,-5.919535452692310,-3.004479810419980,60.0376849,15.009421225
mp-8686,Na3AsSe3,-98.82447284,0.0,198,730.7680374125410,Na12As4Se12,2.0371000000000000,3.46093389706438,-3.5294454585714300,-1.0010984988123500,0.0003579,8.9475E-05
mp-971712,ZnCdS2,-13.27184278,0.01790682892857150,115,92.29310589856570,Zn1Cd1S2,1.3686000000000000,4.353168346132270,-3.317960695,-0.9555774190625000,0.0002815,0.0002815
mvc-3271,CrPO5,-99.07099313,0.059409105714285800,9,178.58724478820000,Cr2P2O10,1.3007,3.0305953959158900,-7.076499509285720,-2.1661916519047600,2.0005758,1.0002879
mp-27171,Hg2P2S7,-42.29130438,0.0,5,275.08116212949200,Hg2P2S7,1.8397000000000000,4.15062097954915,-3.8446640345454500,-0.49301723350378800,0.0028981,0.0028981
mp-27824,PICl6,-44.33267807,0.0,113,576.7732629670900,P2I2Cl12,1.7963,2.1339044670864700,-2.770792379375,-0.9777254941666670,0.0002927,0.00014635
mp-28205,Na3ReO5,-171.21915801,0.0,152,375.5935412565860,Na9Re3O15,2.4449,4.445510723276650,-6.341450296666670,-2.150682731072800,0.0,0.0
mp-31408,Al4(B2O5)3,-196.05989534,0.0,146,252.9605851570590,Al4B6O15,6.072300000000000,2.7096812473374000,-7.8423958136,-3.0834730528,0.0039383,0.0039383
mp-625378,NaH9O5,-146.75672354,0.0,5,267.03132449530700,Na2H18O10,4.7414000000000000,1.393672205350050,-4.891890784666670,-1.3477664697701100,0.0,0.0
mp-625576,Mo(HO2)2,-85.57821737,0.032430729821428800,1,168.98282486760100,Mo2H4O8,3.2029,3.1829279777105200,-6.112729812142860,-1.6165956492857200,2.01E-05,1.005E-05
mp-626000,NaHO,-27.26330615,0.0,4,66.96200128307390,Na2H2O2,3.0075000000000000,1.9837149797760800,-4.543884358333330,-1.5518135771839100,0.0001083,5.415E-05
mp-9781,K3SbS4,-62.1921531,0.0,36,492.74682327233300,K6Sb2S8,2.1851,2.4756759958132400,-3.88700956875,-1.1377598751875000,7.48E-05,3.74E-05
mvc-3677,MgFeF4,-64.22866684,,5,133.66995050684000,Mg2Fe2F8,0.12979999999999900,3.8794443788051900,-5.352388903333330,-3.0836881750000000,7.9999449,3.99997245
mp-1219458,SbTeRh,-64.54029845,0.0,198,272.7145084590220,Sb4Te4Rh4,0.5867000000000000,8.57967737573855,-5.378358204166670,-0.7041548575000000,0.0002806,7.015E-05
mp-15492,DyTa7O19,-521.83710501,0.0044697329629723700,188,683.4155687537360,Dy2Ta14O38,3.2269000000000000,8.422166079654300,-9.663650092777780,-3.420335672592590,0.0306966,0.0153483
mp-27579,Na4P2O7,-319.47745003,0.0,19,704.6458122135670,Na16P8O28,4.4173,2.5064582365171500,-6.143797115961540,-2.609686868105660,0.000523,0.00013075
mp-27755,KAlCl4,-91.21634426,0.0,4,747.3345149066140,K4Al4Cl16,5.2915,1.8477001275164700,-3.8006810108333300,-2.1683274413333300,0.0019151,0.000478775
mp-27854,TaCl4F,-126.26591094,0.0,82,743.0769174349030,Ta4Cl16F4,3.0973000000000000,3.054881492197410,-5.2610796225,-2.2201790829166700,5.45E-05,1.3625E-05
mp-30252,Na10CaSn12,-69.40029118,0.0,217,722.5967864014530,Na10Ca1Sn12,0.7610000000000000,3.893978424803820,-3.017403964347830,-0.2632424393703150,0.0019354,0.0019354
mp-30905,Ba3(BN2)2,-246.4821721,0.0,19,715.8851059077230,Ba12B8N16,2.5259,4.5429044653226600,-6.8467270027777800,-1.1780963659259300,0.0008957,0.000223925
mp-32539,W(ClO)2,-56.40010486,0.07129776533334200,26,249.07062428494300,W2Cl4O4,1.8124,3.8234211193020900,-5.6400104860000000,-1.7377861260000000,3.6E-06,1.8E-06
mp-35269,Ca4Sb2S,-58.60040797,0.07102577163264990,122,401.3634274212330,Ca8Sb4S2,1.0814000000000000,3.6068258743170600,-4.185743426428570,-1.395764588303570,0.0021782,0.0010891
mp-3677,MgSiN2,-113.57751429,0.0,33,173.72813159837400,Mg4Si4N8,4.031000000000000,3.0740862939954400,-7.098594643125,-1.354448663125,0.0009713,0.000242825
mp-4174,HoNiSb,-17.20334104,0.0,216,63.42327981062590,Ho1Ni1Sb1,0.3481000000000010,9.042786209418760,-5.734447013333330,-0.9679314166666670,0.0004542,0.0004542
mp-546787,KNO2,-23.07509087,0.016142777499999800,8,72.57905519486670,K1N1O2,2.5007,1.9470931970206700,-5.7687727175,-1.2765687470000000,0.000119,0.000119
mp-560088,Cs2Li3F5,-44.26019194,0.0911276059999997,38,170.92307754217300,Cs2Li3F5,5.6212,3.707543520556490,-4.426019194,-2.9495223758362100,0.0001255,0.0001255
mp-752974,VOF2,-102.9435755,0.062325164375052600,44,222.7077207619060,V4O4F8,2.2187,3.12971926506118,-6.43397346875,-2.79801721625,3.9999733,0.999993325
mp-753821,Pr3GaO6,-154.26474449,0.0,36,311.5349181682860,Pr6Ga2O12,3.6286,6.273014379011480,-7.7132372245,-3.4195812757500000,0.0018442,0.0009221
mp-763784,LiMn2F6,-51.51206275,0.06670931777777510,5,114.05063178904400,Li1Mn2F6,0.954,3.3604801646355900,-5.723562527777780,-2.8798039437994900,9.0000405,9.0000405
mp-768502,Lu2WO6,-292.44578049,0.015947160277773900,19,460.77190858418100,Lu8W4O24,3.7786,9.0783169086989,-8.1234939025,-3.3315168425,0.0002319,5.7975E-05
mp-772232,Tm2P4O13,-292.73687007,0.005682509736839590,20,522.2716574883740,Tm4P8O26,5.6294000000000000,4.2589155886389900,-7.703601843947370,-3.1774242682456200,7.14E-05,3.57E-05
mp-9919,LiZnSb,-16.78920128,0.0,186,124.95634344988500,Li2Zn2Sb2,0.41500000000000000,5.159037617758050,-2.7982002133333300,-0.42964430777777800,4.2E-06,2.1E-06
mp-998569,InGeCl3,-34.03815689,0.019329499750000400,161,343.0649497460600,In2Ge2Cl6,3.2936,2.844327916870300,-3.4038156890000000,-1.188151376,0.0006271,0.00031355
mp-1025315,Mn(AlTe2)2,-31.69236141,0.0,121,226.08804648985200,Mn1Al2Te4,0.38910000000000000,4.548554084872760,-4.527480201428570,-0.5934272482758620,4.9999531,4.9999531
mp-13335,Cd(BO2)2,-387.2212002,0.036839683214282100,173,507.05530274277200,Cd8B16O32,3.3481000000000000,5.1881922291865900,-6.914664289285720,-2.439590386190480,0.002806,0.00035075
mp-28090,Si2H2S3,-132.37559703,0.0,114,632.37042262086,Si8H8S12,3.3657,1.6215631455543500,-4.7276998939285700,-0.7022099324107140,0.0008065,0.000201625
mp-2964,NaNO2,-23.10659501,0.018170218906244700,44,55.88779902271910,Na1N1O2,2.4755,2.0499884062969200,-5.7766487525,-1.2314131953879300,0.0,0.0
mp-29756,RbB3O5,-270.28784226,0.0011233785802371400,19,490.35252774835400,Rb4B12O20,5.218500000000000,2.6806593990912400,-7.507995618333330,-2.805382906111110,0.0016953,0.000423825
mp-4763,ZnSiP2,-37.53076569,0.0,122,154.87821212777100,Zn2Si2P4,1.3641000000000000,3.333168040840160,-4.69134571125,-0.3134300504166670,0.0001382,6.91E-05
mp-504276,FePO4,-170.54696558,0.0068879358333333600,7,391.8419255914520,Fe4P4O16,1.7099000000000000,2.5565050049759200,-7.106123565833330,-2.32759773638889,0.0,0.0
mp-510657,VCu3O4,-47.25654727,0.09108947374999770,121,95.25241197410750,V1Cu3O4,0.15879999999999900,5.327137674437760,-5.90706840875,-1.31639714625,2.3E-06,2.3E-06
mp-546027,CrBiO3,-68.5484541,0.014705040999999100,161,124.88149851156100,Cr2Bi2O6,1.9908000000000000,8.216822604727420,-6.85484541,-1.9894524510000000,0.0,0.0
mp-552729,KIO3,-22.24454046,0.005367975999999610,160,93.02665310093960,K1I1O3,3.002,3.8199479302959600,-4.448908092,-1.3654491766000000,0.0001492,0.0001492
mp-558521,B2Se2O7,-284.48347434,0.0,19,567.4851775415670,B8Se8O28,3.9744,3.4123175402596900,-6.465533507727270,-1.9039577320928000,0.003758,0.0009395
mp-752561,SbO2F,-44.10114199,0.008674775374998940,9,104.6931358870440,Sb2O4F2,1.3340000000000000,5.480208086605880,-5.51264274875,-1.987542194375,0.0,0.0
mp-753611,PCl3O,-85.07845214,0.005955719000000140,33,686.7475052446610,P4Cl12O4,4.5631,1.4830140231905500,-4.253922607,-1.5783479086666700,0.0006654,0.00016635
mp-755190,TaVO4,-109.06259663,0.0,109,138.43574314041700,Ta2V2O8,1.8997000000000000,7.098338600168160,-9.088549719166670,-3.040961765833330,3.9998376,1.9999188
mp-757971,Li7Cr2O8,-99.04764211,0.05144450102941270,1,184.3486996528260,Li7Cr2O8,0.5067000000000000,2.5273015386887300,-5.826331888823530,-2.134670533137260,3.0000045,3.0000045
mp-866810,Ca2SnS4,-67.62422126,0.07063893750000010,40,348.6261882836490,Ca4Sn2S8,2.4534,3.116263327060390,-4.830301518571430,-1.6082199353571400,0.0014347,0.00071735
mp-8704,K3SbSe4,-56.62150477,0.0,161,547.3713330632320,K6Sb2Se8,1.4318,3.3667260364205400,-3.538844048125,-1.0943635491718700,6.3E-05,3.15E-05
mp-10572,NaPN2,-51.88290303,0.0,122,88.25304273316460,Na2P2N4,4.867700000000000,3.0848998002709900,-6.48536287875,-0.8136584662212650,4.22E-05,2.11E-05
mp-1228030,Ba4Bi2O,-30.34675462,0.0,107,272.9974862102920,Ba4Bi2O1,0.6108000000000000,5.980843566404640,-4.33525066,-1.518548810714290,0.0033892,0.0033892
mp-1301869,CaCr2O4,-210.76739271,0.0817668989285707,160,352.6478382125800,Ca4Cr8O16,2.5239,3.9189772114042200,-7.5274068825,-2.619187048214290,6.0008975,1.500224375
mp-23494,Ti(Bi3O5)4,-199.56776618,0.007387453181820550,197,549.4766642715310,Ti1Bi12O20,2.3865000000000000,8.690230776076800,-6.047508066060610,-1.811292192222220,0.0,0.0
mp-24040,CrHO2,-54.9253764,0.01313051437500070,31,65.75113241765160,Cr2H2O4,2.4943000000000000,4.293478496928690,-6.86567205,-1.97349816875,6.0001229,3.00006145
mp-29196,AuCN,-19.72623365,0.2499745049999960,183,59.37209019892890,Au1C1N1,2.1038,6.236492441303730,-6.575411216666670,0.24997450500000000,0.0002306,0.0002306
mp-2979,ZnGeN2,-93.30821715,0.0,33,187.94394694722000,Zn4Ge4N8,1.6966,5.868837111754280,-5.831763571875,-0.3733232431250000,2.55E-05,6.375E-06
mp-38103,NaClO4,-26.23594456,0.003993269166666200,121,84.95479838876900,Na1Cl1O4,5.495,2.39323758486194,-4.372657426666670,-1.0035064310919500,0.0004452,0.0004452
mp-505297,NbSbRu,-24.75639818,0.0,216,59.64337129939470,Nb1Sb1Ru1,0.6232000000000000,8.790458726839000,-8.252132726666670,-0.4812340816666670,0.0003795,0.0003795
mp-5518,GaAgSe2,-29.34199005,0.0,122,206.93763468872400,Ga2Ag2Se4,0.5906000000000000,5.384515539861860,-3.66774875625,-0.6906300109635410,0.0009487,0.00047435
mp-5770,AgNO2,-21.6662537,0.07542684652777880,44,63.222940543610000,Ag1N1O2,1.77,4.04146482234625,-5.416563425,-0.4938201904166660,4.48E-05,4.48E-05
mp-625565,Cd(HO)2,-22.72687163,0.02170742800000000,5,52.817069062369200,Cd1H2O2,1.7908,4.603541360963270,-4.545374326,-1.299321554,9.8E-06,9.8E-06
mp-759283,FeOF,-72.64355862,0.04230284555555650,6,140.0012146756090,Fe4O4F4,0.47850000000000000,4.3099061385311400,-6.053629885000000,-2.0788137441666700,0.0,0.0
mp-760484,TmBO3,-82.7787493,0.030025047600000600,40,116.35561242130800,Tm2B2O6,4.5068,6.500362493841260,-8.27787493,-3.490252888166670,0.0,0.0
mp-15704,BeSiN2,-61.43258524,0.001164221874999430,122,67.72593517773850,Be2Si2N4,3.5618,3.1928535219439800,-7.679073155,-1.4001439712500000,0.0,0.0
mp-18625,KPSe6,-120.57635833,0.0,29,996.8322179548230,K4P4Se24,1.8858000000000000,3.6236966195711800,-3.7680111978125,-0.6846149078619790,9.47E-05,2.3675E-05
mp-23501,FeBiO3,-62.50164488,0.0016325029999997300,161,128.19046440986000,Fe2Bi2O6,1.3197,8.104437582714590,-6.250164488,-1.6727793330000000,0.0,0.0
mp-27549,K2AgBi,-20.55839986,0.0,63,297.681341212236,K4Ag2Bi2,1.2598,4.407316797226570,-2.5697999825,-0.33395293066666700,0.0006678,0.0003339
mp-28512,Ba(ClO3)2,-84.86554134,0.015387281111108200,43,321.32962584844800,Ba2Cl4O12,5.3105,3.144340037582110,-4.714752296666670,-1.2501067211111100,3.1E-06,1.55E-06
mp-34486,Pr5AgS8,-85.29159811,0.02156397849702610,82,322.92747413753900,Pr5Ag1S8,1.6995000000000000,5.4965720531758100,-6.0922570078571400,-2.1062105319047600,0.0007793,0.0007793
mp-36111,LiMgP,-11.20875866,0.0,216,54.443468468506500,Li1Mg1P1,1.5647000000000000,1.8977179158840700,-3.736252886666670,-0.7620844122222220,0.0001813,0.0001813
mp-3996,GaAsO4,-109.13361481,0.0,152,263.5419921421850,Ga3As3O12,3.0868,3.9438708179884800,-6.062978600555560,-1.9411355259722200,0.001751,0.0005836666666666670
mp-5515,Li7MnN4,-502.4607948,0.0,218,879.0331790464240,Li56Mn8N32,0.6562000000000000,2.411213392950810,-5.2339666125,-0.6984286909386970,7.9785649,0.9973206125
mp-556422,NbCl3O,-114.8567523,0.0,113,529.2462251388410,Nb4Cl12O4,2.8184,2.7016202279706800,-5.742837615,-2.1296624100000000,3.2E-06,8E-07
mp-626500,Al(HO)3,-81.51852861,0.05378922607143010,1,112.21682128049500,Al2H6O6,4.8077000000000000,2.308530127855900,-5.822752043571430,-2.007518189285720,0.0002841,0.00014205
mp-755718,Li2FeF4,-35.63548412,0.0906497049999988,82,99.755402740936,Li2Fe1F4,3.3952,2.4256808525118000,-5.090783445714290,-2.829387723809520,4.0000484,4.0000484
mp-756967,Li2CrO4,-85.98284612,0.020319052380952700,31,180.95509602095300,Li4Cr2O8,3.0674,2.383615365295380,-6.141631865714290,-2.06795511952381,0.0,0.0
mp-10223,Na2PdS2,-40.53325345,0.0,36,205.8889288302530,Na4Pd2S4,1.1750000000000000,3.4927158045315800,-4.053325345000000,-1.0349589188706900,0.000813,0.0004065
mp-1029718,CsC2N3,-134.69958251,0.008013496388890930,152,487.49956972748400,Cs3C6N9,4.0731,2.0329813993207100,-7.483310139444450,-0.2707353815996170,0.0390844,0.013028133333333300
mp-1100415,ZrSbRh,-23.01940789,0.0,216,63.71834685142220,Zr1Sb1Rh1,1.1826000000000000,8.232273456526960,-7.673135963333330,-1.0567993833333300,0.000313,0.000313
mp-17698,K6CdTe4,-61.65289615,0.0,186,918.7648070403140,K12Cd2Te8,1.6614,3.099264388936530,-2.8024043704545500,-1.1232691739090900,0.0017193,0.00085965
mp-23827,Sr7(H6Cl)2,-73.69699133,0.0,174,342.2735820046790,Sr7H12Cl2,3.8999000000000000,3.3782972450104000,-3.50938053952381,-0.9922262522222230,0.001746,0.001746
mp-27193,RbIO3,-22.15006254,0.0,160,99.07161131798570,Rb1I1O3,3.1942000000000000,4.364068893926550,-4.430012508,-1.3725265675000000,0.0004183,0.0004183
mp-27367,SeOF2,-71.01177635,0.0,29,287.22611649839000,Se4O4F8,4.0951,3.074636492888290,-4.438236021875,-1.774278417460940,0.0001267,3.1675E-05
mp-30311,Zn3(PS4)2,-107.28902893,0.006421739332812320,118,575.1076920690620,Zn6P4S16,2.4314000000000000,2.9722098182768100,-4.126501112692310,-0.76700612974359,0.0031615,0.00158075
mp-37829,La5TlSe8,-81.08207821,0.0,82,385.8193282911300,La5Tl1Se8,1.4405000000000000,6.587553766564680,-5.7915770150000000,-2.132007694077380,0.0021452,0.0021452
mp-562987,VCuO3,-33.18599359,0.08128382900000380,1,80.04269880900080,V1Cu1O3,0.8579000000000000,3.3708740038573900,-6.6371987180000000,-1.7839995670000000,0.0011222,0.0011222
mp-685935,CdGeO3,-54.34745601,0.09670249062500070,36,154.93044510132900,Cd2Ge2O6,1.7245,4.995626273283810,-5.434745601,-1.7689854750000000,0.0004816,0.0002408
mp-753156,La2Th2O7,-99.47365968,0.05729587147727240,115,182.6119335822970,La2Th2O7,2.9437000000000000,7.7645848193767400,-9.043059970909090,-4.086109266818180,3.32E-05,3.32E-05
mp-759495,Cr(PO3)3,-383.36083275,0.03575143019231680,19,620.2786890869680,Cr4P12O36,3.0964,3.0937683206119500,-7.372323706730770,-2.584431088653850,12.0034908,3.0008727
mp-774191,Fe3OF7,-59.19473528,0.12064433287878900,160,152.8699812058370,Fe3O1F7,2.5265,3.438210511543200,-5.381339570909090,-2.376854195681820,14.9999695,14.9999695
mp-775776,Li2VF4,-154.17875028,0.01694526428571220,91,319.5845644364750,Li8V4F16,2.7543,2.9267035153908200,-5.506383938571430,-3.0778599852381000,11.999644,2.999911
