material_id,pretty_formula,final_energy,e_above_hull,spacegroup.number,volume,full_formula,band_gap,bond_valence,density,efemri,elasticity.poisson_ratio,elasticity.universal_anistrophy,elasticity.homogeneous_poisson,elasticity.elastic_anisotropy,elasticity.nsites,elasticity.G_Reuss,elasticity.G_VRH,elasticity.G_Voigt,elasticity.G_Voigt_Reuss_Hill,final_energy,final_energy_per_atom,formation_energy_per_atom,is_ordered,magnetism.total_magnetization,nelements,spacegroup.point_group,total_magnetization
mp-1029932,LiVN2,-123.99070975,0.0,33,184.84495128238623,Li4V4N8,1.3146,,3.0865543607489023,,0.26,,0.26,0.3,16.0,44.0,46.0,47.0,46.0,-123.99070975,-7.749419359375,-1.0134646627083335,True,0.0009843,3,mm2,0.000246075
mp-1207082,LiMgSb,-9.32502861,0.0,216,74.18824379127044,Li1Mg1Sb1,1.4438,,3.4246994866064706,,,,,,,,,,,-9.32502861,-3.10834287,-0.6262748177777778,True,0.0014682,3,-43m,0.0014682
mp-22949,FeBiO3,-62.1821758,0.03357941099999984,160,133.6500252449514,Fe2Bi2O6,1.8605999999999998,,7.773373896524185,,,,,,,,,,,-62.1821758,-6.21821758,-1.640832425,True,0.0,3,3m,0.0
mp-30321,Y2P4O13,-300.06127285,0.00294717467106409,20,542.6754124161416,Y4P8O26,5.6488,,3.119267967533761,,,,,,,,,,,-300.06127285,-7.896349285526316,-3.160631110877194,True,0.0021373,3,222,0.00106865
mp-33508,TaGaO4,-196.2240647,0.03678250583332421,33,264.6393538812668,Ta4Ga4O16,3.1552999999999995,,7.897832221916238,,,,,,,,,,,-196.2240647,-8.176002695833334,-2.854383083750001,True,0.0019537,3,mm2,0.000488425
mp-34381,H4IN,-26.12612618,0.002177885000000046,44,97.55470624863716,H4I1N1,4.0129,,2.467163368613305,,,,,,,,,,,-26.12612618,-4.354354363333333,-0.5724524099999998,True,0.0007737,3,mm2,0.0007737
mp-3532,CrAgSe2,-20.92273378,0.0,160,86.3300741425971,Cr1Ag1Se2,0.23539999999999983,,6.112507722749183,,0.34,,0.34,0.44,4.0,22.0,23.0,24.0,23.0,-20.92273378,-5.230683445,-0.5973268378385415,True,2.999591,3,3m,2.999591
mp-4117,Li2Si2O5,-126.23299553,0.0,37,210.98237829148667,Li4Si4O10,5.352,,2.361940262130261,,0.24,,0.24,0.28,18.0,48.0,50.0,51.0,50.0,-126.23299553,-7.0129441961111105,-3.015913218518518,True,0.0008015,3,mm2,0.00040075
mp-555874,LiAsS2,-34.54191858,0.0,9,161.52706402515855,Li2As2S4,1.3757000000000006,,3.0016816958518864,,,,,,,,,,,-34.54191858,-4.3177398225,-0.8590045711458334,True,0.0011965,3,m,0.00059825
mp-5920,LiAlGe,-11.15155156,0.0,216,54.51609347653408,Li1Al1Ge1,0.08689999999999998,,3.2458536020659188,,0.17,,0.17,0.04,3.0,51.0,51.0,51.0,51.0,-11.15155156,-3.7171838533333332,-0.29134166944444395,True,0.0009933,3,-43m,0.0009933
mp-626068,MnHO2,-105.37444846,0.00557393117187388,31,141.83354404217923,Mn4H4O8,0.5127999999999999,,4.11851095401829,,,,,,,,,,,-105.37444846,-6.58590302875,-1.733737191982759,True,0.0,3,mm2,0.0
mp-691106,MnSnO3,-69.18867748,0.022306391000021186,161,123.04270445239978,Mn2Sn2O6,0.3072999999999997,,5.982512338715366,,,,,,,,,,,-69.18867748,-6.918867747999999,-2.0615737155862064,True,7.16e-05,3,3m,3.58e-05
mp-756591,Sm3NbO7,-189.2059332,0.001668360568180205,20,318.5712649228127,Sm6Nb2O14,2.5893,,6.83855800457934,,,,,,,,,,,-189.2059332,-8.60026969090909,-3.683561465454545,True,0.0035584,3,222,0.0017792
mp-761269,Li2AgF4,-58.38146161,0.03423822285714362,15,166.99802381530776,Li4Ag2F8,0.36129999999999995,,3.9325175092609457,,,,,,,,,,,-58.38146161,-4.170104400714286,-2.391773314047619,True,2.0000009,3,2/m,1.00000045
mp-7906,Al2HgS4,-30.08258933,0.0,82,163.74255368837888,Al2Hg1S4,2.0184,,3.882167802914123,,0.26,,0.26,0.92,7.0,20.0,22.0,23.0,22.0,-30.08258933,-4.297512761428572,-1.1077082624999994,True,1.89e-05,3,-4,1.89e-05
mp-866473,Ca4SnS6,-107.15350361,0.1461492515909102,9,627.6688529211298,Ca8Sn2S12,2.2461,,2.4943026528111067,,,,,,,,,,,-107.15350361,-4.870613800454546,-1.7949164753409095,True,0.003726,3,m,0.001863
mp-10748,TaCu3S4,-45.64640424,0.0,215,172.32069704839407,Ta1Cu3S4,2.0730999999999997,,4.816679744429984,,0.24,,0.24,0.72,8.0,23.0,25.0,26.0,25.0,-45.64640424,-5.70580053,-0.8696508915625012,True,3.94e-05,3,-43m,3.94e-05
mp-1095291,Li2SnSe3,-46.59457143,0.0,9,318.8659512797098,Li4Sn2Se6,1.49,,3.848154295261534,,,,,,,,,,,-46.59457143,-3.8828809525000003,-1.0663556156163196,True,0.0010312,3,m,0.0005156
mp-1227372,BiTeIr,-66.2520119,0.07345498750000079,198,289.86990297670894,Bi4Te4Ir4,0.4737,,12.117004656217258,,,,,,,,,,,-66.2520119,-5.521000991666667,-0.23041243833333347,True,3.68e-05,3,23,9.2e-06
mp-13308,HoGeAu,-14.72009556,0.07459606833333332,216,69.31433613549804,Ho1Ge1Au1,0.21750000000000025,,10.410046756457234,,0.33,,0.33,0.23,3.0,31.0,31.0,32.0,31.0,-14.72009556,-4.90669852,-0.7469257650000003,True,0.0001332,3,-43m,0.0001332
mp-19885,InGaS3,-42.41296339,0.017178434333333215,36,234.95748088706998,In2Ga2S6,1.8944,,3.968148565783092,,,,,,,,,,,-42.41296339,-4.241296339,-0.9052704683750008,True,5.64e-05,3,mm2,2.82e-05
mp-30957,Pr(PO3)3,-196.37158153,0.0,20,366.2422260051997,Pr2P6O18,5.485399999999999,,3.4260972507306904,,,,,,,,,,,-196.37158153,-7.552753135769231,-2.9858719273076932,True,0.0,3,222,0.0
mp-504952,InGaSe3,-114.47837622,0.0,169,855.1956731786204,In6Ga6Se18,1.3286000000000002,,4.909655574270972,,,,,,,,,,,-114.47837622,-3.815945874,-0.8456430369062498,True,3.28e-05,3,6,5.466666666666666e-06
mp-625054,AlHO2,-52.48897205,0.0,36,66.31653037811193,Al2H2O4,5.2866,,3.00416440924848,,0.21,,0.21,1.62,8.0,72.0,82.0,92.0,82.0,-52.48897205,-6.56112150625,-2.646065535,True,0.0003475,3,mm2,0.00017375
mp-753316,Li2AgF5,-31.63430672,0.06517307624999713,1,106.89370502216525,Li2Ag1F5,0.8915,,3.366979533311392,,,,,,,,,,,-31.63430672,-3.95428834,-2.217063768229167,True,0.0,3,1,0.0
mp-756570,Rb4SnO3,-65.77735279,0.0,9,437.020366483775,Rb8Sn2O6,1.4769999999999999,,3.864881488077475,,,,,,,,,,,-65.77735279,-4.111084549375,-1.521760654375,True,0.0001859,3,m,9.295e-05
mp-1008867,NaCuO,-11.76106079,0.5396684799999996,216,38.30118707311081,Na1Cu1O1,0.0017000000000000348,,4.445388440960803,,,,,,,,,,,-11.76106079,-3.9203535966666667,-0.6927892738505742,True,3.11e-05,3,-43m,3.11e-05
mp-11000,CaB4O7,-188.97170329,0.030717559270877715,31,200.46837933756484,Ca2B8O14,6.441799999999999,,3.2357505794589945,,,,,,,,,,,-188.97170329,-7.873820970416666,-2.9946631372222217,True,0.0002297,3,mm2,0.00011485
mp-28123,H7NF4,-110.25949507,0.0,161,217.3028527472638,H14N2F8,7.490600000000001,,1.4833224654034918,,,,,,,,,,,-110.25949507,-4.594145627916666,-1.4672712020833334,True,0.0029128,3,3m,0.0014564
